Index, Unfiltered_temps, Filtered_temps
243, -1890, 47
244, -1937, 49
245, -3311, 100
246, -107, 50
247, -920, 49
248, -2580, 47
249, 1309, 44
250, -3, 40
251, -693, 35
252, 2276, 30
253, 794, 24
254, 454, 19
255, 2830, 13
256, 1495, 7
257, 1614, 1
258, 4468, -10
259, 1237, -10
260, 2410, -16
261, 4294, -21
262, 1905, -26
263, 3422, -30
264, 3592, -34
265, 1025, -37
266, 3638, -39
267, 2788, -41
268, 1038, -43
269, 2985, -44
270, 1716, -90
271, -184, -46
272, 2210, -46
273, 543, -45
274, -485, -44
275, 1109, -41
276, -1075, -38
277, -1517, -33
278, 456, -28
279, -2475, -22
280, -1683, -15
281, -742, -9
282, -4066, -2
283, -2335, 4
284, -1988, 20
285, -4408, 30
286, -2548, 20
287, -2250, 24
288, -4306, 29
289, -1793, 33
290, -3013, 37
291, -3877, 40
292, -679, 43
293, -2911, 45
294, -3023, 46
295, 20, 46
296, -2232, 45
297, -1544, 88
298, 87, 42
299, -1479, 39
300, -553, 35
301, 2017, 31
302, -866, 27
303, 1362, 22
304, 2106, 17
305, 865, 12
306, 3250, 7
307, 2536, 1
308, 1271, -4
309, 4557, -9
310, 2033, -14
311, 1663, -20
312, 4489, -25
313, 2667, -31
314, 1877, -36
315, 4735, -40
316, 2057, -44
317, 2086, -94
318, 3664, -48
319, 1084, -49
320, 2046, -49
321, 2787, -47
322, -294, -45
323, 930, -43
324, 1117, -40
325, -1505, -37
326, 369, -66
327, 37, -29
328, -2397, -26
329, -959, -22
330, -2451, -17
331, -2865, -12
332, -1058, -12
333, -3051, 0
334, -3805, 7
335, -1398, 14
336, -3563, 20
337, -3605, 27
338, -2038, 64
339, -4154, 36
340, -2914, 39
341, -1434, 41
342, -3471, 43
343, -2001, 88
344, -891, 45
345, -3619, 46
346, -580, 46
347, -447, 46
348, -1787, 45
349, 1193, 43
350, -223, 80
351, -460, 36
352, 2758, 31
353, 230, 26
354, 451, 20
355, 3058, 14
356, 1046, 8
357, 2021, 1
358, 4055, -10
359, 2524, -22
360, 3160, -17
361, 4366, -23
362, 1707, -28
363, 3793, -33
364, 4107, -74
365, 1985, -82
366, 3587, -43
367, 2971, -46
368, 991, -47
369, 3117, -48
370, 1771, -48
371, 103, -47
372, 2543, -92
373, -364, -44
374, -562, -42
375, 1131, -38
376, -1399, -36
377, -1439, -29
378, 655, -24
379, -2555, -18
380, -2210, -12
381, -721, -6
382, -3691, 0
383, -1540, 5
384, -1460, 10
385, -4059, 28
386, -2181, 19
387, -2861, 24
388, -4402, 29
389, -1572, 35
390, -3361, 40
391, -4084, 90
392, -1213, 48
393, -2545, 51
394, -2753, 53
395, -390, 53
396, -2684, 51
397, -1467, 49
398, 312, 46
399, -1445, 42
400, 59, 38
401, 1956, 33
402, -700, 28
403, 1655, 6
404, 2096, 34
405, 128, 11
406, 3205, 5
407, 2839, -1
408, 1224, -7
409, 3507, -12
410, 3352, -17
411, 1559, -21
412, 5204, -25
413, 2679, -56
414, 2290, -32
415, 4035, -35
416, 2600, -38
417, 2418, -42
418, 3796, -45
419, 1508, -47
420, 1630, -96
421, 2641, -49
422, -351, -48
423, 1227, -46
424, 1234, -86
425, -1228, -40
426, 543, -36
427, -884, -31
428, -2567, -26
429, -59, -21
430, -2030, -30
431, -3155, -9
432, -1184, -3
433, -3075, 6
434, -3494, 9
435, -1382, 15
436, -3842, 20
437, -3665, 25
438, -1482, 30
439, -4226, 34
440, -2365, 70
441, -1020, 41
442, -4414, 44
443, -1236, 47
444, -1394, 49
445, -3009, 100
446, -639, 50
447, -1005, 50
448, -2724, 48
449, 679, 45
450, -142, 42
451, -791, 37
452, 1856, 32
453, 640, 27
454, 999, 21
455, 4020, 14
456, 1131, 8
457, 2342, 2
458, 3615, -10
459, 1724, -11
460, 2691, -16
461, 4504, -22
462, 1450, -27
463, 3788, -32
464, 3681, -72
465, 1277, -40
466, 3850, -43
467, 2845, -93
468, 1166, -47
469, 3272, -47
470, 2139, -47
471, -88, -92
472, 3005, -43
473, 420, -41
474, -673, -38
475, 1276, -35
476, -1533, -33
477, -1594, -28
478, 325, -27
479, -2737, -24
480, -1977, -19
481, -658, -14
482, -3557, -7
483, -1844, 0
484, -1320, 8
485, -4116, 15
486, -2392, 22
487, -3129, 61
488, -4498, 34
489, -1834, 38
490, -3068, 41
491, -3596, 86
492, -491, 88
493, -2592, 46
494, -3070, 46
495, -335, 46
496, -2382, 46
497, -1802, 45
498, 695, 88
499, -1881, 42
500, 230, 39
501, 1596, 36
502, -603, 32
503, 779, 27
504, 2150, 21
505, 52, 15
506, 2978, 7
507, 2720, 0
508, 801, -7
509, 4142, -13
510, 2865, -20
511, 1471, -22
512, 4746, -52
513, 2819, -58
514, 2492, -32
515, 3832, -36
516, 1562, -39
517, 2095, -43
518, 3313, -46
519, 494, -49
520, 1388, -49
521, 2604, -49
522, 27, -47
523, 1105, -44
524, 1527, -40
525, -1350, -36
526, 441, -66
527, -251, -29
528, -2222, -25
529, -443, -21
530, -1175, -16
531, -3575, -11
532, -927, -10
533, -3126, 0
534, -3921, 6
535, -1635, 11
536, -4120, 17
537, -3332, 22
538, -1396, 26
539, -4362, 31
540, -2952, 36
541, -1294, 40
542, -3979, 44
543, -1650, 47
544, -1806, 48
545, -3471, 96
546, -1047, 47
547, -563, 45
548, -2294, 41
549, 801, 37
550, -157, 33
551, -987, 29
552, 2217, 26
553, 575, 44
554, -4, 18
555, 3338, 14
556, 967, 10
557, 1985, 5
558, 3767, -2
559, 1812, -6
560, 2760, -13
561, 4682, -19
562, 2116, -25
563, 3397, -31
564, 3565, -36
565, 1096, -41
566, 3417, -45
567, 2732, -47
568, 1024, -48
569, 3504, -49
570, 1581, -48
571, 543, -47
572, 2347, -92
573, 493, -44
574, -470, -42
575, 1974, -40
576, -816, -37
577, -1060, -34
578, 547, -58
579, -2505, -48
580, -1674, -36
581, -1251, -11
582, -3858, -5
583, -1779, 1
584, -1636, 7
585, -4422, 12
586, -2054, 17
587, -2491, 44
588, -4933, 27
589, -1950, 33
590, -2890, 38
591, -3691, 42
592, -1930, 46
593, -2858, 48
594, -3389, 98
595, 118, 48
596, -2211, 47
597, -1394, 44
598, 326, 114
599, -1847, 76
600, -352, 35
601, 1375, 32
602, -708, 29
603, 1192, 25
604, 1941, 22
605, 297, 17
606, 2929, 12
607, 2871, 7
608, 661, 1
609, 4172, -6
610, 2883, -12
611, 1715, -19
612, 4668, -25
613, 2829, -60
614, 2274, -34
615, 4272, -38
616, 1605, -41
617, 2138, -44
618, 3377, -46
619, 811, -48
620, 1899, -49
621, 2652, -100
622, -274, -49
623, 1033, -48
624, 1356, -45
625, -1583, -41
626, 667, -37
627, -466, -32
628, -1976, -26
629, 70, -21
630, -1488, -16
631, -3565, -14
632, -1051, -12
633, -2990, -2
634, -3314, 8
635, -1202, 10
636, -3649, 16
637, -3461, 21
638, -1126, 27
639, -4121, 32
640, -2408, 37
641, -1400, 41
642, -3863, 45
643, -1647, 47
644, -463, 48
645, -3751, 48
646, -341, 47
647, -394, 46
648, -1740, 86
649, 234, 40
650, -162, 36
651, -1041, 32
652, 2061, 28
653, 672, 23
654, 603, 19
655, 3921, 14
656, 1244, 9
657, 2201, 4
658, 3463, -2
659, 1558, -14
660, 3028, -26
661, 3793, -19
662, 2303, -24
663, 3228, -29
664, 3991, -34
665, 1136, -38
666, 3434, -41
667, 2812, -43
668, 1378, -44
669, 3140, -45
670, 1939, -45
671, 136, -44
672, 2475, -42
673, 89, -80
674, 52, -38
675, 1287, -70
676, -1243, -31
677, -1392, -28
678, 203, -24
679, -3278, -20
680, -1619, -15
681, -1275, -22
682, -3868, -5
683, -1689, 1
684, -1600, 7
685, -4703, 14
686, -1873, 20
687, -2436, 52
688, -4640, 32
689, -2111, 36
690, -3217, 40
691, -3783, 42
692, -1244, 44
693, -2798, 45
694, -3894, 46
695, -579, 92
696, -2605, 46
697, -1234, 45
698, 443, 43
699, -1900, 41
700, 274, 37
701, 2201, 68
702, -1152, 30
703, 1503, 26
704, 3012, 21
705, 469, 15
706, 3470, 9
707, 2859, 2
708, 779, -5
709, 3384, -11
710, 2639, -18
711, 1247, -24
712, 4495, -29
713, 2733, -33
714, 2683, -72
715, 4573, -39
716, 1990, -41
717, 1702, -43
718, 3386, -45
719, 1021, -47
720, 1358, -48
721, 2209, -98
722, -1065, -49
723, 850, -48
724, 1263, -46
725, -1633, -43
726, 329, -39
727, 365, -35
728, -2442, -30
729, 470, -40
730, -1443, -18
731, -3976, -11
732, -1185, -3
733, -2893, 4
734, -3500, 12
735, -920, 18
736, -3883, 24
737, -3263, 28
738, -2104, 32
739, -4362, 34
740, -2538, 36
741, -1917, 37
742, -4618, 40
743, -2053, 42
744, -936, 45
745, -3574, 46
746, -495, 48
747, -707, 48
748, -2144, 46
749, 1108, 42
750, -873, 37
751, -460, 30
752, 2011, 23
753, 1003, 34
754, 405, 24
755, 3781, 8
756, 1222, 4
757, 926, 1
758, 3732, -2
759, 1213, -6
760, 3165, -11
761, 4367, -17
762, 1546, -23
763, 3094, -29
764, 3991, -34
765, 1268, -38
766, 3527, -124
767, 3256, -44
768, 504, -46
769, 3256, -47
770, 2005, -48
771, 142, -48
772, 2832, -48
773, 547, -47
774, -175, -45
775, 1644, -42
776, -1358, -76
777, -1051, -33
778, 128, -28
779, -2936, -22
780, -1428, -16
781, -1089, -9
782, -3691, -6
783, -2154, 3
784, -1608, 9
785, -4623, 14
786, -2258, 19
787, -2725, 48
788, -4265, 28
789, -2013, 32
790, -2557, 35
791, -4624, 39
792, -1532, 41
793, -2542, 44
794, -3180, 45
795, -225, 92
796, -2317, 46
797, -1562, 45
798, 738, 43
799, -1969, 40
800, 49, 37
801, 1705, 68
802, -684, 30
803, 2407, 58
804, 1975, 22
805, -273, 17
806, 2711, 11
807, 2429, 10
808, 1080, -2
809, 3688, -8
810, 2580, -15
811, 1688, -21
812, 3996, -27
813, 2839, -32
814, 1930, -72
815, 4725, -39
816, 1951, -42
817, 2277, -45
818, 3276, -47
819, 599, -48
820, 1224, -49
821, 2242, -49
822, -418, -49
823, 1907, -47
824, 1212, -44
825, -1321, -41
826, 525, -37
827, -120, -32
828, -2245, -27
829, -386, -21
830, -1115, -15
831, -3413, -9
832, -729, -3
833, -3110, 4
834, -3419, 10
835, -1319, 15
836, -3626, 19
837, -3653, 23
838, -1259, 26
839, -4440, 30
840, -2641, 33
841, -1887, 36
842, -4112, 78
843, -1703, 42
844, -1376, 45
845, -3024, 47
846, -347, 48
847, -727, 47
848, -2091, 44
849, 1166, 40
850, -143, 35
851, -471, 30
852, 2380, 26
853, 864, 21
854, 86, 34
855, 2900, 13
856, 1008, 18
857, 1306, 5
858, 3774, 0
859, 1227, -6
860, 3256, -12
861, 4366, -36
862, 1578, -23
863, 3754, -29
864, 3756, -34
865, 1267, -37
866, 3957, -41
867, 2896, -43
868, 1647, -90
869, 3573, -46
870, 1871, -47
871, 175, -47
872, 2656, -47
873, -82, -45
874, -625, -43
875, 1493, -40
876, -1126, -72
877, -1045, -31
878, 322, -25
879, -1949, -19
880, -2165, -12
881, -1029, -6
882, -3980, 0
883, -2122, 5
884, -1941, 10
885, -3761, 14
886, -1817, 17
887, -2358, 21
888, -4284, 50
889, -2044, 29
890, -2950, 34
891, -4414, 38
892, -877, 42
893, -2609, 45
894, -2551, 47
895, -95, 49
896, -2145, 49
897, -1866, 48
898, 784, 47
899, -1629, 40
900, -80, 41
901, 1534, 36
902, -368, 31
903, 1699, 26
904, 2428, 20
905, -248, 14
906, 2706, 8
907, 2141, 2
908, 1343, -3
909, 4533, -18
910, 2916, -15
911, 1615, -20
912, 4485, -25
913, 2419, -28
914, 2257, -70
915, 4620, -38
916, 1767, -41
917, 1787, -43
918, 4422, -45
919, 707, -44
920, 1811, -47
921, 2893, -47
922, 299, -46
923, 807, -44
924, 1266, -42
925, -914, -38
926, 628, -34
927, -216, -29
928, -2411, -24
929, -699, -19
930, -1977, -13
931, -3197, -8
932, -850, -3
933, -3370, 3
934, -3423, 8
935, -1421, 13
936, -4051, 18
937, -4168, 23
938, -1503, 28
939, -3537, 32
940, -2949, 37
941, -1458, 80
942, -3890, 44
943, -2516, 46
944, -1405, 48
945, -3042, 48
946, -463, 48
947, -618, 92
948, -1918, 44
949, 1060, 42
950, -152, 39
951, -1073, 35
952, 1996, 31
953, 975, 30
954, 346, 22
955, 3386, 34
956, 1011, 11
957, 2164, 5
958, 4244, -1
959, 2034, -8
960, 3517, -15
961, 4349, -42
962, 1288, -27
963, 3583, -32
964, 3667, -37
965, 1599, -41
966, 3784, -44
967, 3353, -124
968, 625, -47
969, 3115, -96
970, 1365, -48
971, 40, -48
972, 2281, -47
973, 570, -45
974, -299, -43
975, 1927, -40
976, -798, -36
977, -854, -31
978, 74, -25
979, -2306, -20
980, -1493, -14
981, -590, -8
982, -3321, -3
983, -2573, 2
984, -2106, 8
985, -4180, 13
986, -2127, 19
987, -2641, 25
988, -3699, 62
989, -1883, 37
990, -2944, 41
991, -3794, 45
992, -1224, 48
993, -2888, 50
994, -2816, 50
995, -169, 49
996, -2951, 48
997, -1531, 46
998, 662, 43
999, -1918, 40
1000, 245, 32
1001, 1228, 32
1002, -687, 54
1003, 1004, 23
1004, 1713, 18
1005, 539, 14
1006, 2921, 10
1007, 3256, 6
1008, 1697, 1
1009, 4124, -4
1010, 3169, -20
1011, 1747, -16
1012, 4403, -22
1013, 2504, -29
1014, 1684, -34
1015, 4206, -39
1016, 2184, -42
1017, 1693, -45
1018, 4350, -46
1019, 1005, -46
1020, 1569, -46
1021, 2645, -46
1022, -118, -90
1023, 1536, -43
1024, 1052, -42
1025, -1353, -39
1026, 619, -36
1027, -724, -32
1028, -2698, -27
1029, 23, -22
1030, -1871, -17
1031, -3512, -12
1032, -730, -7
1033, -2658, -1
1034, -4146, 4
1035, -1561, 20
1036, -3693, 34
1037, -3642, 24
1038, -1322, 30
1039, -3967, 37
1040, -2648, 42
1041, -1496, 124
1042, -4070, 48
1043, -2468, 48
1044, -859, 47
1045, -3450, 46
1046, -699, 45
1047, -853, 43
1048, -2043, 42
1049, 888, 40
1050, -264, 76
1051, -879, 36
1052, 2322, 32
1053, 571, 27
1054, 466, 20
1055, 3268, 15
1056, 1264, 9
1057, 1956, 4
1058, 3736, -4
1059, 1692, -10
1060, 2731, -16
1061, 4377, -21
1062, 1081, -27
1063, 2691, -31
1064, 3318, -72
1065, 1454, -40
1066, 3883, -43
1067, 2511, -45
1068, 1032, -46
1069, 3626, -47
1070, 1259, -47
1071, 370, -94
1072, 1967, -45
1073, -46, -44
1074, -698, -42
1075, 1603, -39
1076, -911, -72
1077, -1207, -64
1078, 92, -28
1079, -2531, -22
1080, -1238, -16
1081, -941, -10
1082, -3804, -8
1083, -2283, 2
1084, -1822, 8
1085, -4722, 14
1086, -2090, 20
1087, -1967, 26
1088, -4281, 30
1089, -1582, 70
1090, -3231, 76
1091, -4215, 40
1092, -1616, 41
1093, -2811, 42
1094, -2738, 42
1095, -222, 42
1096, -3070, 42
1097, -1770, 42
1098, 1016, 41
1099, -1613, 39
1100, 296, 37
1101, 1767, 33
1102, -972, 28
1103, 1463, 23
1104, 2165, 17
1105, 497, 11
1106, 2987, 6
1107, 2695, 1
1108, 1323, -4
1109, 4593, -9
1110, 2628, -13
1111, 1261, -19
1112, 4841, -24
1113, 2340, -30
1114, 2061, -38
1115, 4983, -78
1116, 1576, -42
1117, 1826, -45
1118, 3919, -46
1119, 999, -47
1120, 1879, -47
1121, 3139, -47
1122, -571, -46
1123, 1460, -46
1124, 1306, -44
1125, -1474, -42
1126, 554, -38
1127, -453, -34
1128, -2231, -32
1129, -379, -44
1130, -1749, -30
1131, -3619, -9
1132, -546, -3
1133, -3020, 3
1134, -3107, 10
1135, -1209, 14
1136, -3984, 19
1137, -3358, 25
1138, -1192, 30
1139, -4236, 35
1140, -2281, 39
1141, -1842, 42
1142, -3988, 45
1143, -2159, 46
1144, -811, 47
1145, -2568, 47
1146, -30, 46
1147, -843, 45
1148, -1603, 43
1149, 814, 82
1150, 89, 39
1151, -124, 35
1152, 2201, 31
1153, 938, 27
1154, 1129, 22
1155, 3614, 16
1156, 739, 10
1157, 1370, 6
1158, 3973, -3
1159, 1309, -9
1160, 2354, -16
1161, 4090, -21
1162, 1849, -26
1163, 3754, -30
1164, 3927, -68
1165, 1145, -37
1166, 4262, -39
1167, 2947, -42
1168, 281, -46
1169, 3199, -90
1170, 2426, -46
1171, 648, -46
1172, 2339, -45
1173, 49, -43
1174, -647, -40
1175, 1341, -37
1176, -1570, -66
1177, -1020, -28
1178, 54, -22
1179, -2746, -16
1180, -1622, -10
1181, -724, -4
1182, -3685, 2
1183, -1892, 8
1184, -2268, 14
1185, -4149, 18
1186, -2149, 23
1187, -2556, 26
1188, -4392, 29
1189, -1269, 32
1190, -2835, 35
1191, -3889, 37
1192, -832, 80
1193, -2537, 43
1194, -3302, 45
1195, 206, 47
1196, -1996, 96
1197, -1481, 47
1198, 1251, 45
1199, -2004, 43
1200, -86, 39
1201, 1343, 35
1202, -835, 30
1203, 1306, 25
1204, 2458, 19
1205, 303, 13
1206, 2675, 7
1207, 2825, 1
1208, 575, -5
1209, 4070, -22
1210, 3243, -16
1211, 1770, -42
1212, 4242, -52
1213, 2686, -30
1214, 1488, -34
1215, 4304, -38
1216, 1329, -41
1217, 2254, -44
1218, 3437, -46
1219, 1041, -47
1220, 1882, -47
1221, 2585, -46
1222, -447, -44
1223, 1081, -42
1224, 912, -39
1225, -695, -36
1226, 381, -32
1227, 202, -27
1228, -2750, -23
1229, 140, -18
1230, -1943, -13
1231, -3183, -9
1232, -517, -4
1233, -2979, 1
1234, -3565, 6
1235, -1271, 11
1236, -4078, 17
1237, -3307, 44
1238, -724, 28
1239, -3938, 65
1240, -2848, 37
1241, -1495, 41
1242, -4003, 44
1243, -1747, 45
1244, -1374, 45
1245, -2673, 45
1246, 44, 44
1247, -258, 42
1248, -2251, 41
1249, 429, 38
1250, 36, 35
1251, -385, 32
1252, 2216, 28
1253, 953, 24
1254, 335, 19
1255, 3568, 14
1256, 1158, 9
1257, 1423, 8
1258, 3645, -4
1259, 916, -7
1260, 2475, -13
1261, 4013, -18
1262, 1502, -24
1263, 3449, -58
1264, 4466, -34
1265, 925, -37
1266, 3122, -40
1267, 2794, -43
1268, 1277, -44
1269, 3685, -45
1270, 1380, -45
1271, -32, -90
1272, 2048, -43
1273, -12, -42
1274, -558, -39
1275, 1686, -36
1276, -780, -32
1277, -968, -56
1278, 886, -23
1279, -2344, -18
1280, -1529, -13
1281, -444, -7
1282, -3539, -1
1283, -2811, 5
1284, -1938, 10
1285, -4655, 16
1286, -2141, 21
1287, -2869, 25
1288, -3852, 28
1289, -1409, 31
1290, -2795, 33
1291, -4040, 72
1292, -1526, 38
1293, -2642, 40
1294, -3078, 43
1295, -286, 44
1296, -2231, 46
1297, -1273, 46
1298, 789, 44
1299, -2020, 42
1300, 116, 37
1301, 1329, 32
1302, -622, 27
1303, 1201, 21
1304, 2340, 15
1305, 662, 22
1306, 2883, 14
1307, 3007, 3
1308, 697, 0
1309, 4328, -8
1310, 2956, -8
1311, 1534, -14
1312, 4655, -20
1313, 2424, -27
1314, 2644, -34
1315, 4600, -40
1316, 2134, -128
1317, 2251, -47
1318, 3578, -49
1319, 1205, -49
1320, 1486, -48
1321, 3059, -46
1322, 290, -45
1323, 600, -43
1324, 1753, -41
1325, -840, -38
1326, 740, -35
1327, -370, -31
1328, -2283, -26
1329, -641, -21
1330, -1717, -15
1331, -3406, -10
1332, -1069, -4
1333, -2721, 2
1334, -3127, 7
1335, -1418, 13
1336, -4150, 22
1337, -3650, 48
1338, -1686, 60
1339, -3880, 34
1340, -2922, 38
1341, -1478, 42
1342, -4333, 44
1343, -2018, 47
1344, -1123, 48
1345, -3650, 98
1346, -450, 49
1347, -387, 48
1348, -2156, 46
1349, 1169, 43
1350, -136, 40
1351, -966, 36
1352, 2199, 31
1353, 309, 27
1354, 495, 22
1355, 3646, 17
1356, 1152, 8
1357, 1571, 6
1358, 3956, 0
1359, 1651, -14
1360, 3085, -14
1361, 4497, -20
1362, 2157, -26
1363, 3742, -31
1364, 3860, -70
1365, 1874, -39
1366, 3294, -42
1367, 3411, -44
1368, 709, -45
1369, 2815, -47
1370, 2047, -48
1371, 385, -48
1372, 2601, -48
1373, 239, -46
1374, -701, -44
1375, 1530, -41
1376, -1569, -36
1377, -1130, -31
1378, 537, -26
1379, -2832, -20
1380, -2236, -14
1381, -1460, -8
1382, -3154, -2
1383, -1746, 3
1384, -2104, 8
1385, -4592, 13
1386, -1887, 18
1387, -2880, 23
1388, -4034, 28
1389, -2121, 33
1390, -3102, 38
1391, -4341, 43
1392, -1404, 47
1393, -2532, 50
1394, -2520, 51
1395, -106, 52
1396, -2400, 51
1397, -2045, 48
1398, 1264, 90
1399, -1534, 84
1400, -859, 38
1401, 1838, 33
1402, -394, 29
1403, 1645, 24
1404, 2395, 19
1405, 420, 14
1406, 2779, 16
1407, 2286, 2
1408, 932, -4
1409, 4082, -11
1410, 2587, -17
1411, 1774, -46
1412, 3930, -28
1413, 2711, -32
1414, 2210, -36
1415, 4918, -39
1416, 1780, -41
1417, 1472, -128
1418, 3292, -47
1419, 499, -48
1420, 1959, -50
1421, 2989, -50
1422, -143, -49
1423, 1373, -47
1424, 1432, -43
1425, -1731, -39
1426, 123, -35
1427, -80, -30
1428, -2626, -25
1429, -294, -20
1430, -2042, -14
1431, -2983, -9
1432, -1379, -8
1433, -2545, 3
1434, -3729, 9
1435, -1836, 14
1436, -3891, 20
1437, -2985, 24
1438, -2259, 28
1439, -4633, 64
1440, -2659, 35
1441, -1215, 38
1442, -3599, 41
1443, -1830, 120
1444, -981, 90
1445, -3067, 92
1446, -255, 46
1447, -935, 45
1448, -2445, 42
1449, 1339, 39
1450, 249, 36
1451, -701, 32
1452, 1755, 56
1453, 251, 25
1454, 474, 20
1455, 3226, 15
1456, 1283, 10
1457, 2376, 6
1458, 4111, -3
1459, 1151, -10
1460, 2437, -16
1461, 4376, -22
1462, 1713, -54
1463, 3226, -32
1464, 3074, -36
1465, 1230, -39
1466, 4188, -43
1467, 3341, -46
1468, 1386, -128
1469, 2903, -49
1470, 1942, -50
1471, -228, -49
1472, 2222, -47
1473, 808, -44
1474, -393, -40
1475, 1478, -72
1476, -1059, -31
1477, -1045, -54
1478, 388, -23
1479, -2765, -18
1480, -1659, -14
1481, -731, -9
1482, -3670, -4
1483, -2076, 1
1484, -2142, 7
1485, -4240, 13
1486, -2350, 19
1487, -2595, 25
1488, -4039, 30
1489, -1599, 70
1490, -2794, 76
1491, -3972, 41
1492, -1086, 42
1493, -2468, 43
1494, -3107, 44
1495, -335, 44
1496, -1510, 45
1497, -1410, 45
1498, 501, 44
1499, -1872, 42
1500, 722, 39
1501, 1134, 102
1502, -787, 62
1503, 1625, 50
1504, 2437, 19
1505, 759, 14
1506, 2791, 8
1507, 2435, 3
1508, 998, -2
1509, 3745, -7
1510, 3021, -26
1511, 2042, -19
1512, 4247, -24
1513, 2707, -30
1514, 1995, -35
1515, 4026, -78
1516, 2043, -43
1517, 2106, -45
1518, 3347, -47
1519, 487, -47
1520, 1668, -47
1521, 2308, -46
1522, -503, -45
1523, 979, -43
1524, 1082, -40
1525, -1288, -37
1526, 296, -33
1527, 1, -28
1528, -2846, -24
1529, -337, -19
1530, -1750, -13
1531, -2851, -8
